Module;Function;Mehtod;Domain;Input;Average;StandDev;Min;Max;Median;Range
map;map_named;time;time;100000;0.0066;0.0011;0.0053;0.0084;0.0065;0.0031
map;map_named;time;time;500000;0.0416;0.0042;0.0349;0.0509;0.0425;0.016
map;map_named;time;time;1000000;0.067;0.011;0.0537;0.0908;0.0657;0.0371
map;map_named;time;time;2000000;0.1384;0.0365;0.0519;0.182;0.1514;0.1301
map;map_named;time;time;3000000;0.2051;0.0626;0.0735;0.2587;0.2399;0.1852
map;map_named;time;time;4000000;0.222;0.0725;0.0989;0.3245;0.2382;0.2256
map;map_named;time;time;5000000;0.3053;0.092;0.1152;0.4247;0.3274;0.3095
map;map_named;time;time;6000000;0.3654;0.1149;0.1387;0.5105;0.4009;0.3718
map;map_named;time;time;7000000;0.404;0.1298;0.1611;0.5798;0.4472;0.4187
map;map_named;time;time;8000000;0.48;0.1136;0.3128;0.739;0.4722;0.4262
map;map_named;time;time;9000000;0.5961;0.1509;0.3183;0.7768;0.6612;0.4585
map;map_named;time;time;10000000;0.557;0.1691;0.227;0.7834;0.5989;0.5564
map;my_map_fun;sysfs;energy-pkg;10000;0.0066;0.0033;0.0022;0.0143;0.0058;0.0121
map;my_map_fun;sysfs;energy-pkg;50000;0.0189;0.0075;0.0132;0.0377;0.0158;0.0245
map;my_map_fun;sysfs;energy-pkg;100000;0.0272;0.0067;0.0202;0.0422;0.0259;0.022
map;my_map_fun;sysfs;energy-pkg;500000;0.2208;0.015;0.2047;0.2528;0.2172;0.0481
map;my_map_fun;sysfs;energy-pkg;1000000;0.4939;0.075;0.4048;0.624;0.4962;0.2192
map;my_map_fun;sysfs;energy-pkg;2000000;1.1171;0.1239;0.9792;1.3107;1.0991;0.3315
map;my_map_fun;sysfs;energy-pkg;3000000;2.1104;0.0426;2.0456;2.1841;2.1043;0.1385
map;my_map_fun;sysfs;energy-pkg;4000000;2.152;0.2852;1.7604;2.7259;2.0929;0.9655
map;my_map_fun;sysfs;energy-pkg;5000000;3.173;0.5741;2.5926;4.3768;3.0863;1.7842
map;my_map_fun;sysfs;energy-pkg;6000000;3.9612;0.6874;3.2471;4.9567;3.8577;1.7096
map;my_map_fun;sysfs;energy-pkg;7000000;4.189;0.8967;3.5144;6.2462;3.8513;2.7318
map;my_map_fun;sysfs;energy-pkg;8000000;4.8891;1.7001;3.6128;9.3152;4.2841;5.7024
map;my_map_fun;sysfs;energy-pkg;9000000;7.0953;0.4017;6.7752;7.7984;6.8984;1.0232
map;my_map_fun;sysfs;energy-pkg;10000000;6.1172;1.4086;4.5439;9.5718;6.0371;5.0279
map;my_map_fun;time;time;10000;0.0008;0.0001;0.0008;0.0011;0.0008;0.0003
map;my_map_fun;time;time;50000;0.0055;0.0002;0.0051;0.0058;0.0056;0.0007
map;my_map_fun;time;time;100000;0.0095;0.0033;0.0061;0.013;0.0093;0.0069
map;my_map_fun;time;time;500000;0.0406;0.0018;0.038;0.0424;0.0414;0.0044
map;my_map_fun;time;time;1000000;0.0624;0.0079;0.0531;0.0729;0.0628;0.0198
map;my_map_fun;time;time;2000000;0.1544;0.0091;0.1397;0.1653;0.1565;0.0256
map;my_map_fun;time;time;3000000;0.2316;0.0018;0.2294;0.2345;0.2309;0.0051
map;my_map_fun;time;time;4000000;0.258;0.0178;0.2265;0.2898;0.2574;0.0633
map;my_map_fun;time;time;5000000;0.3536;0.0217;0.3324;0.4031;0.352;0.0707
map;my_map_fun;time;time;6000000;0.4165;0.0299;0.3801;0.4639;0.4131;0.0838
map;my_map_fun;time;time;7000000;0.4606;0.042;0.4285;0.56;0.4442;0.1315
map;my_map_fun;time;time;8000000;0.4872;0.0929;0.4047;0.7295;0.4619;0.3248
map;my_map_fun;time;time;9000000;0.6744;0.0189;0.6611;0.7132;0.6656;0.0521
map;my_map_fun;time;time;10000000;0.6297;0.0775;0.5455;0.8288;0.6215;0.2833
map;my_map_named;sysfs;energy-pkg;10000;0.0063;0.0021;0.0029;0.0101;0.0059;0.0072
map;my_map_named;sysfs;energy-pkg;50000;0.0189;0.0057;0.0151;0.0343;0.017;0.0192
map;my_map_named;sysfs;energy-pkg;100000;0.0332;0.0115;0.0223;0.0623;0.0305;0.04
map;my_map_named;sysfs;energy-pkg;500000;0.2377;0.0146;0.2192;0.2611;0.2313;0.0419
map;my_map_named;sysfs;energy-pkg;1000000;0.4925;0.0671;0.3973;0.6011;0.4833;0.2038
map;my_map_named;sysfs;energy-pkg;2000000;1.1321;0.1083;0.9944;1.2685;1.1338;0.2741
map;my_map_named;sysfs;energy-pkg;3000000;2.1121;0.128;1.9944;2.4459;2.0791;0.4515
map;my_map_named;sysfs;energy-pkg;4000000;2.0855;0.2983;1.7801;2.8455;2.0373;1.0654
map;my_map_named;sysfs;energy-pkg;5000000;3.2638;0.5422;2.6782;4.3345;3.3534;1.6563
map;my_map_named;sysfs;energy-pkg;6000000;3.9649;0.6708;3.3127;5.3637;4.0409;2.051
map;my_map_named;sysfs;energy-pkg;7000000;4.4615;0.9988;3.599;6.6371;4.1942;3.0381
map;my_map_named;sysfs;energy-pkg;8000000;4.8159;1.3488;3.6486;8.061;4.3617;4.4124
map;my_map_named;sysfs;energy-pkg;9000000;7.151;0.3893;6.8524;7.8467;6.9682;0.9943
map;my_map_named;sysfs;energy-pkg;10000000;6.0781;1.4186;4.6637;9.5887;5.8505;4.925
map;my_map_named;time;time;10000;0.0008;0.0001;0.0008;0.0011;0.0008;0.0003
map;my_map_named;time;time;50000;0.0058;0.0001;0.0055;0.0059;0.0058;0.0004
map;my_map_named;time;time;100000;0.0097;0.003;0.0065;0.0127;0.01;0.0062
map;my_map_named;time;time;500000;0.0379;0.0007;0.0364;0.039;0.0379;0.0026
map;my_map_named;time;time;1000000;0.0628;0.0067;0.0542;0.0733;0.0616;0.0191
map;my_map_named;time;time;2000000;0.1548;0.0109;0.143;0.1801;0.1542;0.0371
map;my_map_named;time;time;3000000;0.2398;0.0045;0.2318;0.2459;0.2398;0.0141
map;my_map_named;time;time;4000000;0.2582;0.0199;0.2316;0.3013;0.2584;0.0697
map;my_map_named;time;time;5000000;0.3563;0.0219;0.3334;0.4046;0.3577;0.0712
map;my_map_named;time;time;6000000;0.4277;0.0251;0.4;0.4832;0.4255;0.0832
map;my_map_named;time;time;7000000;0.4681;0.0474;0.4297;0.5784;0.4552;0.1487
map;my_map_named;time;time;8000000;0.4837;0.0826;0.4104;0.6982;0.4616;0.2878
map;my_map_named;time;time;9000000;0.6811;0.0165;0.6699;0.7155;0.6745;0.0456
map;my_map_named;time;time;10000000;0.6323;0.0793;0.5449;0.8188;0.6071;0.2739
map;recursive;sysfs;energy-pkg;10000;0.006;0.003;0.0045;0.0143;0.0049;0.0098
map;recursive;sysfs;energy-pkg;50000;0.0121;0.0026;0.0099;0.0191;0.0117;0.0092
map;recursive;sysfs;energy-pkg;100000;0.0185;0.0078;0.0111;0.0302;0.0164;0.0191
map;recursive;sysfs;energy-pkg;500000;0.1701;0.0366;0.1295;0.2225;0.1602;0.093
map;recursive;sysfs;energy-pkg;1000000;0.3687;0.0704;0.2883;0.5032;0.3719;0.2149
map;recursive;sysfs;energy-pkg;2000000;0.8813;0.0675;0.7706;0.992;0.8692;0.2214
map;recursive;sysfs;energy-pkg;3000000;1.7457;0.1354;1.6405;2.1187;1.7067;0.4782
map;recursive;sysfs;energy-pkg;4000000;1.5628;0.2094;1.2239;1.9583;1.5926;0.7344
map;recursive;sysfs;energy-pkg;5000000;2.5258;0.4792;2.0254;3.4906;2.4528;1.4652
map;recursive;sysfs;energy-pkg;6000000;3.1295;0.6259;2.4258;4.4595;3.0621;2.0337
map;recursive;sysfs;energy-pkg;7000000;3.3069;0.8701;2.6745;5.4511;2.9908;2.7766
map;recursive;sysfs;energy-pkg;8000000;3.7842;1.7497;2.4791;8.1329;3.1029;5.6538
map;recursive;sysfs;energy-pkg;9000000;5.7964;0.3082;5.5653;6.495;5.6723;0.9297
map;recursive;sysfs;energy-pkg;10000000;4.5463;1.4752;3.289;7.6;4.1836;4.311
map;recursive;time;time;10000;0.0004;0.0001;0.0004;0.0006;0.0004;0.0002
map;recursive;time;time;50000;0.0037;0.0002;0.0036;0.0042;0.0037;0.0006
map;recursive;time;time;100000;0.0048;0.0009;0.0035;0.0062;0.0045;0.0027
map;recursive;time;time;500000;0.029;0.0026;0.026;0.0319;0.029;0.0059
map;recursive;time;time;1000000;0.0503;0.0082;0.0406;0.0661;0.0496;0.0255
map;recursive;time;time;2000000;0.1299;0.0091;0.1174;0.142;0.1307;0.0246
map;recursive;time;time;3000000;0.2032;0.0046;0.1972;0.2103;0.2028;0.0131
map;recursive;time;time;4000000;0.21;0.0175;0.1769;0.2269;0.2168;0.05
map;recursive;time;time;5000000;0.2967;0.0192;0.2726;0.3343;0.298;0.0617
map;recursive;time;time;6000000;0.3552;0.0251;0.3301;0.4117;0.3504;0.0816
map;recursive;time;time;7000000;0.3795;0.0432;0.3456;0.4879;0.3668;0.1423
map;recursive;time;time;8000000;0.4022;0.1048;0.3204;0.671;0.3767;0.3506
map;recursive;time;time;9000000;0.5554;0.0157;0.5421;0.5927;0.5525;0.0506
map;recursive;time;time;10000000;0.5124;0.089;0.4342;0.7063;0.4988;0.2721
